t, round_converg, size, size_param
0, 14, 56, 224 
0, 19, 56, 224 
0, 24, 56, 224 
0, 29, 56, 224 
0, 34, 56, 224 
0, 39, 56, 224 
0, 44, 56, 224 
0, 52, 56, 224 
0, 57, 56, 224 
0, 62, 56, 224 
0, 67, 56, 224 
0, 72, 56, 224 
0, 77, 56, 224 
0, 82, 56, 224 
0, 87, 56, 224 
0, 92, 56, 224 
0, 97, 56, 224 
1, 24, 56, 224 
1, 30, 56, 224 
1, 35, 56, 224 
1, 40, 56, 224 
1, 45, 56, 224 
1, 52, 56, 224 
1, 61, 56, 224 
1, 66, 56, 224 
1, 71, 56, 224 
1, 76, 56, 224 
1, 81, 56, 224 
1, 86, 56, 224 
1, 91, 56, 224 
1, 96, 56, 224 
2, 29, 56, 224 
2, 34, 56, 224 
2, 39, 56, 224 
2, 53, 56, 224 
2, 58, 56, 224 
2, 63, 56, 224 
2, 68, 56, 224 
2, 73, 56, 224 
2, 78, 56, 224 
2, 85, 56, 224 
2, 90, 56, 224 
2, 95, 56, 224 
2, 100, 56, 224 
3, 26, 56, 224 
3, 35, 56, 224 
3, 40, 56, 224 
3, 46, 56, 224 
3, 51, 56, 224 
3, 56, 56, 224 
3, 61, 56, 224 
3, 66, 56, 224 
3, 71, 56, 224 
3, 76, 56, 224 
3, 81, 56, 224 
3, 86, 56, 224 
3, 91, 56, 224 
3, 96, 56, 224 
4, 16, 56, 224 
4, 26, 56, 224 
4, 34, 56, 224 
4, 47, 56, 224 
4, 52, 56, 224 
4, 57, 56, 224 
4, 62, 56, 224 
4, 67, 56, 224 
4, 72, 56, 224 
4, 77, 56, 224 
4, 82, 56, 224 
4, 87, 56, 224 
4, 92, 56, 224 
4, 97, 56, 224 
5, 16, 56, 224 
5, 27, 56, 224 
5, 37, 56, 224 
5, 42, 56, 224 
5, 47, 56, 224 
5, 52, 56, 224 
5, 57, 56, 224 
5, 62, 56, 224 
5, 67, 56, 224 
5, 72, 56, 224 
5, 77, 56, 224 
5, 82, 56, 224 
5, 87, 56, 224 
5, 92, 56, 224 
5, 97, 56, 224 
6, 21, 56, 224 
6, 31, 56, 224 
6, 36, 56, 224 
6, 44, 56, 224 
6, 49, 56, 224 
6, 54, 56, 224 
6, 59, 56, 224 
6, 64, 56, 224 
6, 69, 56, 224 
6, 74, 56, 224 
6, 79, 56, 224 
6, 84, 56, 224 
6, 89, 56, 224 
6, 94, 56, 224 
6, 99, 56, 224 
7, 27, 56, 224 
7, 32, 56, 224 
7, 37, 56, 224 
7, 42, 56, 224 
7, 47, 56, 224 
7, 52, 56, 224 
7, 57, 56, 224 
7, 62, 56, 224 
7, 67, 56, 224 
7, 72, 56, 224 
7, 77, 56, 224 
7, 86, 56, 224 
7, 91, 56, 224 
7, 96, 56, 224 
8, 20, 56, 224 
8, 25, 56, 224 
8, 39, 56, 224 
8, 47, 56, 224 
8, 52, 56, 224 
8, 57, 56, 224 
8, 62, 56, 224 
8, 67, 56, 224 
8, 72, 56, 224 
8, 77, 56, 224 
8, 82, 56, 224 
8, 87, 56, 224 
8, 92, 56, 224 
8, 97, 56, 224 
9, 17, 56, 224 
9, 27, 56, 224 
9, 34, 56, 224 
9, 39, 56, 224 
9, 44, 56, 224 
9, 49, 56, 224 
9, 54, 56, 224 
9, 59, 56, 224 
9, 64, 56, 224 
9, 69, 56, 224 
9, 74, 56, 224 
9, 79, 56, 224 
9, 84, 56, 224 
9, 89, 56, 224 
9, 94, 56, 224 
9, 99, 56, 224 
