t, round_converg, size, size_param
0, 26, 56, 224 
0, 36, 56, 224 
0, 41, 56, 224 
0, 46, 56, 224 
0, 51, 56, 224 
0, 56, 56, 224 
0, 61, 56, 224 
0, 66, 56, 224 
0, 71, 56, 224 
0, 76, 56, 224 
0, 81, 56, 224 
0, 86, 56, 224 
0, 91, 56, 224 
0, 96, 56, 224 
1, 23, 56, 224 
1, 28, 56, 224 
1, 33, 56, 224 
1, 38, 56, 224 
1, 47, 56, 224 
1, 52, 56, 224 
1, 57, 56, 224 
1, 65, 56, 224 
1, 70, 56, 224 
1, 75, 56, 224 
1, 81, 56, 224 
1, 86, 56, 224 
1, 91, 56, 224 
1, 96, 56, 224 
2, 21, 56, 224 
2, 30, 56, 224 
2, 35, 56, 224 
2, 40, 56, 224 
2, 45, 56, 224 
2, 50, 56, 224 
2, 55, 56, 224 
2, 60, 56, 224 
2, 65, 56, 224 
2, 70, 56, 224 
2, 75, 56, 224 
2, 80, 56, 224 
2, 85, 56, 224 
2, 90, 56, 224 
2, 95, 56, 224 
2, 100, 56, 224 
3, 22, 56, 224 
3, 43, 56, 224 
3, 48, 56, 224 
3, 55, 56, 224 
3, 60, 56, 224 
3, 65, 56, 224 
3, 70, 56, 224 
3, 75, 56, 224 
3, 80, 56, 224 
3, 85, 56, 224 
3, 90, 56, 224 
3, 95, 56, 224 
3, 100, 56, 224 
4, 24, 56, 224 
4, 32, 56, 224 
4, 37, 56, 224 
4, 42, 56, 224 
4, 47, 56, 224 
4, 52, 56, 224 
4, 57, 56, 224 
4, 62, 56, 224 
4, 67, 56, 224 
4, 72, 56, 224 
4, 77, 56, 224 
4, 82, 56, 224 
4, 87, 56, 224 
4, 92, 56, 224 
4, 97, 56, 224 
5, 34, 56, 224 
5, 39, 56, 224 
5, 44, 56, 224 
5, 49, 56, 224 
5, 54, 56, 224 
5, 59, 56, 224 
5, 64, 56, 224 
5, 69, 56, 224 
5, 74, 56, 224 
5, 79, 56, 224 
5, 84, 56, 224 
5, 89, 56, 224 
5, 94, 56, 224 
5, 99, 56, 224 
6, 18, 56, 224 
6, 31, 56, 224 
6, 36, 56, 224 
6, 41, 56, 224 
6, 46, 56, 224 
6, 55, 56, 224 
6, 65, 56, 224 
6, 70, 56, 224 
6, 75, 56, 224 
6, 80, 56, 224 
6, 85, 56, 224 
6, 90, 56, 224 
6, 95, 56, 224 
6, 100, 56, 224 
7, 23, 56, 224 
7, 28, 56, 224 
7, 33, 56, 224 
7, 40, 56, 224 
7, 45, 56, 224 
7, 50, 56, 224 
7, 63, 56, 224 
7, 68, 56, 224 
7, 73, 56, 224 
7, 78, 56, 224 
7, 83, 56, 224 
7, 88, 56, 224 
7, 93, 56, 224 
7, 98, 56, 224 
8, 24, 56, 224 
8, 31, 56, 224 
8, 36, 56, 224 
8, 44, 56, 224 
8, 49, 56, 224 
8, 54, 56, 224 
8, 59, 56, 224 
8, 64, 56, 224 
8, 69, 56, 224 
8, 74, 56, 224 
8, 79, 56, 224 
8, 84, 56, 224 
8, 89, 56, 224 
8, 94, 56, 224 
8, 99, 56, 224 
9, 21, 56, 224 
9, 26, 56, 224 
9, 35, 56, 224 
9, 40, 56, 224 
9, 48, 56, 224 
9, 53, 56, 224 
9, 58, 56, 224 
9, 63, 56, 224 
9, 68, 56, 224 
9, 73, 56, 224 
9, 78, 56, 224 
9, 83, 56, 224 
9, 88, 56, 224 
9, 93, 56, 224 
9, 98, 56, 224 
