t, round_converg, size, size_param
0, 14, 56, 224 
0, 28, 56, 224 
0, 41, 56, 224 
0, 51, 56, 224 
0, 59, 56, 224 
0, 68, 56, 224 
0, 79, 56, 224 
0, 86, 56, 224 
0, 94, 56, 224 
1, 11, 56, 224 
1, 23, 56, 224 
1, 34, 56, 224 
1, 46, 56, 224 
1, 56, 56, 224 
1, 65, 56, 224 
1, 73, 56, 224 
1, 83, 56, 224 
1, 90, 56, 224 
1, 95, 56, 224 
2, 9, 56, 224 
2, 23, 56, 224 
2, 38, 56, 224 
2, 50, 56, 224 
2, 61, 56, 224 
2, 74, 56, 224 
2, 81, 56, 224 
2, 90, 56, 224 
2, 97, 56, 224 
3, 10, 56, 224 
3, 24, 56, 224 
3, 40, 56, 224 
3, 51, 56, 224 
3, 63, 56, 224 
3, 74, 56, 224 
3, 84, 56, 224 
3, 91, 56, 224 
4, 10, 56, 224 
4, 24, 56, 224 
4, 36, 56, 224 
4, 50, 56, 224 
4, 60, 56, 224 
4, 71, 56, 224 
4, 83, 56, 224 
4, 88, 56, 224 
4, 95, 56, 224 
5, 12, 56, 224 
5, 23, 56, 224 
5, 36, 56, 224 
5, 46, 56, 224 
5, 55, 56, 224 
5, 66, 56, 224 
5, 80, 56, 224 
5, 90, 56, 224 
5, 97, 56, 224 
6, 11, 56, 224 
6, 23, 56, 224 
6, 35, 56, 224 
6, 43, 56, 224 
6, 52, 56, 224 
6, 61, 56, 224 
6, 71, 56, 224 
6, 80, 56, 224 
6, 90, 56, 224 
6, 98, 56, 224 
7, 12, 56, 224 
7, 21, 56, 224 
7, 30, 56, 224 
7, 39, 56, 224 
7, 50, 56, 224 
7, 61, 56, 224 
7, 70, 56, 224 
7, 78, 56, 224 
7, 87, 56, 224 
7, 92, 56, 224 
7, 99, 56, 224 
8, 10, 56, 224 
8, 21, 56, 224 
8, 32, 56, 224 
8, 43, 56, 224 
8, 52, 56, 224 
8, 63, 56, 224 
8, 73, 56, 224 
8, 83, 56, 224 
8, 93, 56, 224 
9, 13, 56, 224 
9, 26, 56, 224 
9, 37, 56, 224 
9, 45, 56, 224 
9, 56, 56, 224 
9, 65, 56, 224 
9, 75, 56, 224 
9, 83, 56, 224 
9, 91, 56, 224 
9, 99, 56, 224 
